,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
39,Long et al SImmunology,10.1126/sciimmunol.aai7793,"S. A. Long, J. Thorpe, H. A. DeBerg, V. Gersuk, J. A. Eddy, K. M. Harris, M. Ehlers, K. C. Herold, G. T. Nepom, P. S. Linsley",Science Immunology,Partial exhaustion of CD8 T cells and clinical response to teplizumab in new-onset type 1 diabetes,20161215,-,219.0,Human,Blood,SMARTer (C1),GSE85527,,RNA-seq,CD8+ T cels,Type 1 diabetes,,,,,,,,,,,,3.0,2016-12-15,2016,12,15,73.0
40,Liu et al SReports,10.1038/srep39638,"Qiwei Liu, Yumei Li, Yun Feng, Chaojie Liu, Jieliang Ma, Yifei Li, Huifen Xiang, Yazhong Ji, Yunxia Cao, Xiaowen Tong, Zhigang Xue",Sci Rep,"Single-cell analysis of differences in transcriptomic profiles of oocytes and cumulus cells at GV, MI, MII stages from PCOS patients",20161222,,,Human,Ovary,,,,RNA-seq,,Polycystic ovary syndrome,,,,,,,,,,,,16.0,2016-12-22,2016,12,22,
41,Zheng et al NComm,10.1038/ncomms14049,"Grace X. Y. Zheng, Jessica M. Terry, Phillip Belgrader, Paul Ryvkin, Zachary W. Bent, Ryan Wilson, Solongo B. Ziraldo, Tobias D. Wheeler, Geoff P. McDermott, Junjie Zhu, Mark T. Gregory, Joe Shuga, Luz Montesclaros, Jason G. Underwood, Donald A. Masquelier, Stefanie Y. Nishimura, Michael Schnall-Levin, Paul W. Wyatt, Christopher M. Hindson, Rajiv Bharadwaj, Alexander Wong, Kevin D. Ness, Lan W. Beppu, H. Joachim Deeg, Christopher McFarland, Keith R. Loeb, William J. Valente, Nolan G. Ericson, Emily A. Stevens, Jerald P. Radich, Tarjei S. Mikkelsen, Benjamin J. Hindson, Jason H. Bielas",Nat Commun,Massively parallel digital transcriptional profiling of single cells,20170116,10.1101/065912,250000.0,"Human, Mouse",Blood,GemCode,SRP073767,,RNA-seq,PBMCs,,,,,Yes,,,Yes,Yes,,Nanodroplet dilution,,5.0,2017-01-16,2017,1,16,50000.0
42,Gierahn et al NMeth,10.1038/nmeth.4179,"Todd M Gierahn, Marc H Wadsworth, Travis K Hughes, Bryan D Bryson, Andrew Butler, Rahul Satija, Sarah Fortune, J Christopher Love, Alex K Shalek",Nat Methods,"Seq-Well: portable, low-cost RNA sequencing of single cells at high throughput",20170213,-,4638.0,"Human, Mouse","Blood, Culture",Seq-Well,GSE92495,,RNA-seq,"HEK293, NIH3T3, PBMC, Monocyte-derived macrophages",,,,,,,,,,,Picowell deposition,,,2017-02-13,2017,2,13,
43,Guillaumet-Adkins et al GB,10.1186/s13059-017-1171-9,"Amy Guillaumet-Adkins, Gustavo Rodríguez-Esteban, Elisabetta Mereu, Maria Mendez-Lago, Diego A. Jaitin, Alberto Villanueva, August Vidal, Alex Martinez-Marti, Enriqueta Felip, Ana Vivancos, Hadas Keren-Shaul, Simon Heath, Marta Gut, Ido Amit, Ivo Gut, Holger Heyn",Genome Biol,Single-cell transcriptome conservation in cryopreserved cells and tissues,20170301,-,1486.0,"Human, Dog, Mouse","Culture, Colon, Blood",Smart-seq2,GSE85534,,RNA-seq,"Colon, HEK293, K562, MDCK, NIH3T3, PBMCs, PDOX",,Cryo vs Fresh,,,,,,,,,,,,2017-03-01,2017,3,1,
44,Lee et al NGenetics,10.1038/ng.3806,"Jin-Ku Lee, Jiguang Wang, Jason K Sa, Erik Ladewig, Hae-Ock Lee, In-Hee Lee, Hyun Ju Kang, Daniel S Rosenbloom, Pablo G Camara, Zhaoqi Liu, Patrick van Nieuwenhuizen, Sang Won Jung, Seung Won Choi, Junhyung Kim, Andrew Chen, Kyu-Tae Kim, Sang Shin, Yun Jee Seo, Jin-Mi Oh, Yong Jae Shin, Chul-Kee Park, Doo-Sik Kong, Ho Jun Seol, Andrew Blumberg, Jung-Il Lee, Antonio Iavarone, Woong-Yang Park, Raul Rabadan, Do-Hyun Nam",Nat Genet,Spatiotemporal genomic architecture informs precision oncology in glioblastoma,20170306,,355.0,Human,Brain,SMARTer (C1),EGAS00001001880,,RNA-seq,Glioblastoma,,,,,,,,,,,,,3.0,2017-03-06,2017,3,6,118.33333333333333
45,Li et al NGenetics,10.1038/ng.3818,"Huipeng Li, Elise T Courtois, Debarka Sengupta, Yuliana Tan, Kok Hao Chen, Jolene Jie Lin Goh, Say Li Kong, Clarinda Chua, Lim Kiat Hon, Wah Siew Tan, Mark Wong, Paul Jongjoon Choi, Lawrence J K Wee, Axel M Hillmer, Iain Beehuat Tan, Paul Robson, Shyam Prabhakar",Nat Genet,Reference component analysis of single-cell transcriptomes elucidates cellular heterogeneity in human colorectal tumors,20170320,-,1187.0,Human,"Colon, Tumor",SMARTer (C1),GSE81861,,RNA-seq,CRC tumors; mucosa; cell lines,Colorectal cancer,,,7,Yes,No,No,Yes,Yes,,IFC Capture,,11.0,2017-03-20,2017,3,20,107.9090909090909
46,Velten et al NCB,10.1038/ncb3493,"Lars Velten, Simon F. Haas, Simon Raffel, Sandra Blaszkiewicz, Saiful Islam, Bianca P. Hennig, Christoph Hirche, Christoph Lutz, Eike C. Buss, Daniel Nowak, Tobias Boch, Wolf-Karsten Hofmann, Anthony D. Ho, Wolfgang Huber, Andreas Trumpp, Marieke A. G. Essers, Lars M. Steinmetz",Nat Cell Biol,Human haematopoietic stem cell lineage commitment is a continuous process,20170320,-,2414.0,Human,Bone marrow,Quartz-seq & Smart-seq2,GSE75478,,RNA-seq,HSPCs,,Index sorting,,,,,,,,,,,2.0,2017-03-20,2017,3,20,1207.0
47,Venteicher et al Science,10.1126/science.aai8478,"Andrew S. Venteicher, Itay Tirosh, Christine Hebert, Keren Yizhak, Cyril Neftel, Mariella G. Filbin, Volker Hovestadt, Leah E. Escalante, McKenzie L. Shaw, Christopher Rodman, Shawn M. Gillespie, Danielle Dionne, Christina C. Luo, Hiranmayi Ravichandran, Ravindra Mylvaganam, Christopher Mount, Maristela L. Onozato, Brian V. Nahed, Hiroaki Wakimoto, William T. Curry, A. John Iafrate, Miguel N. Rivera, Matthew P. Frosch, Todd R. Golub, Priscilla K. Brastianos, Gad Getz, Anoop P. Patel, Michelle Monje, Daniel P. Cahill, Orit Rozenblatt-Rosen, David N. Louis, Bradley E. Bernstein, Aviv Regev, Mario L. Suvà",Science,"Decoupling genetics, lineages, and microenvironment in IDH-mutant gliomas by single-cell RNA-seq",20170330,-,6341.0,Human,Brain,Smart-seq2,GSE89567,,RNA-seq,"Astrocytoma and oligodendrocytoma tumors, Microglia",Oligodendrocytoma,Tumor vs non-Tumor,,3,Yes,,,,,,,,16.0,2017-03-30,2017,3,30,396.3125
48,Villani et al Science,10.1126/science.aah4573,"Alexandra-Chloé Villani, Rahul Satija, Gary Reynolds, Siranush Sarkizova, Karthik Shekhar, James Fletcher, Morgane Griesbeck, Andrew Butler, Shiwei Zheng, Suzan Lazo, Laura Jardine, David Dixon, Emily Stephenson, Emil Nilsson, Ida Grundberg, David McDonald, Andrew Filby, Weibo Li, Philip L. De Jager, Orit Rozenblatt-Rosen, Andrew A. Lane, Muzlifah Haniffa, Aviv Regev, Nir Hacohen",Science,"Single-cell RNA-seq reveals new types of human blood dendritic cells, monocytes, and progenitors",20170420,-,3359.0,Human,Blood,Smart-seq2,GSE94820,,RNA-seq,"Sorted from PBMCs: DCs, monocytes, progenitors",,,,10,,,,,,,,,14.0,2017-04-20,2017,4,20,239.92857142857142
49,Li et al CSC,10.1016/j.stem.2017.03.007,"Li Li, Ji Dong, Liying Yan, Jun Yong, Xixi Liu, Yuqiong Hu, Xiaoying Fan, Xinglong Wu, Hongshan Guo, Xiaoye Wang, Xiaohui Zhu, Rong Li, Jie Yan, Yuan Wei, Yangyu Zhao, Wei Wang, Yixin Ren, Peng Yuan, Zhiqiang Yan, Boqiang Hu, Fan Guo, Lu Wen, Fuchou Tang, Jie Qiao",Cell Stem Cell,Single-Cell RNA-Seq Analysis Maps Development of Human Germline Cells and Gonadal Niche Interactions,20170427,-,2167.0,Human,Gonad,Smart-seq2 UMI,GSE86146,,RNA-seq,Fetal germ cells,,Male vs Female,"GW4, GW5, GW7, GW9, GW10, GW12, GW14, GW18, GW20, GW21, GW23, GW24, GW25",17,Yes,Yes,No,Yes,Yes,,,,29.0,2017-04-27,2017,4,27,74.72413793103448
50,Der et al JCIInsight,10.1172/jci.insight.93009,"Evan Der, Saritha Ranabothu, Hemant Suryawanshi, Kemal M. Akat, Robert Clancy, Pavel Morozov, Manjunath Kustagi, Mareike Czuppa, Peter Izmirly, H. Michael Belmont, Tao Wang, Nicole Jordan, Nicole Bornkamp, Janet Nwaukoni, July Martinez, Beatrice Goilav, Jill P. Buyon, Thomas Tuschl, Chaim Putterman",JCI Insight,Single cell RNA sequencing to dissect the molecular heterogeneity in lupus nephritis,20170503,,899.0,Human,"Skin, Kidney, Blood",SMARTer (C1),PRJNA379992,,RNA-seq,,Lupus nephritis,,,6,,No,No,Yes,Yes,,,,29.0,2017-05-03,2017,5,3,31.0
51,Lavin et al Cell,10.1016/j.cell.2017.04.014,"Yonit Lavin, Soma Kobayashi, Andrew Leader, El-ad David Amir, Naama Elefant, Camille Bigenwald, Romain Remark, Robert Sweeney, Christian D. Becker, Jacob H. Levine, Klaus Meinhof, Andrew Chow, Seunghee Kim-Shulze, Andrea Wolf, Chiara Medaglia, Hanjie Li, Julie A. Rytlewski, Ryan O. Emerson, Alexander Solovyov, Benjamin D. Greenbaum, Catherine Sanders, Marissa Vignali, Mary Beth Beasley, Raja Flores, Sacha Gnjatic, Dana Pe’er, Adeeb Rahman, Ido Amit, Miriam Merad",Cell,Innate Immune Landscape in Early Lung Adenocarcinoma by Paired Single-Cell Analyses,20170504,-,1920.0,Human,Lung,MARS-seq,GSE97168,,RNA-seq,Non-lymphocytic immune cells,,Lung adenocarcinoma lesion vs the adjacent non-involved lung,,,,,,,,,,,32.0,2017-05-04,2017,5,4,60.0
52,Chung et al NCommunications,10.1038/ncomms15081,"Woosung Chung, Hye Hyeon Eum, Hae-Ock Lee, Kyung-Min Lee, Han-Byoel Lee, Kyu-Tae Kim, Han Suk Ryu, Sangmin Kim, Jeong Eon Lee, Yeon Hee Park, Zhengyan Kan, Wonshik Han, Woong-Yang Park",Nat Commun,Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer,20170505,-,515.0,Human,Breast,SMARTer (C1),GSE75688,,RNA-seq,breast cancer,,,,13,Yes,No,No,Yes,No,,IFC Capture,,11.0,2017-05-05,2017,5,5,46.81818181818182
53,Alles et al BMCBiology,10.1186/s12915-017-0383-5,"Jonathan Alles, Nikos Karaiskos, Samantha D. Praktiknjo, Stefanie Grosswendt, Philipp Wahle, Pierre-Louis Ruffault, Salah Ayoub, Luisa Schreyer, Anastasiya Boltengagen, Carmen Birchmeier, Robert Zinzen, Christine Kocks, Nikolaus Rajewsky",BMC Biol,Cell fixation and preservation for droplet-based single-cell transcriptomics,20170519,10.1101/099473,1369.0,"Drosophila, Human, Mouse",Brain,Drop-seq,GSE89164,,RNA-seq,Hindbrain and cerebellum,,,Postnatal,,Yes,,,,Yes,,,,,2017-05-19,2017,5,19,
54,Cerosaletti et al JImmunilogy,10.4049/jimmunol.1700172,"Karen Cerosaletti, Fariba Barahmand-pour-Whitman, Junbao Yang, Hannah A. DeBerg, Matthew J. Dufort, Sara A. Murray, Elisabeth Israelsson, Cate Speake, Vivian H. Gersuk, James A. Eddy, Helena Reijonen, Carla J. Greenbaum, William W. Kwok, Erik Wambre, Martin Prlic, Raphael Gottardo, Gerald T. Nepom, Peter S. Linsley",J.I.,Single-Cell RNA Sequencing Reveals Expanded Clones of Islet Antigen-Reactive CD4+ T Cells in Peripheral Blood of Subjects with Type 1 Diabetes,20170601,,449.0,Human,Blood,SMARTer (C1),GSE96569,,RNA-seq,Islet-antigen reactive T cells,Type 1 diabetes,,,,,,,,,,,,6.0,2017-06-01,2017,6,1,74.83333333333333
55,Zheng et al Cell,10.1016/j.cell.2017.05.035,"Chunhong Zheng, Liangtao Zheng, Jae-Kwang Yoo, Huahu Guo, Yuanyuan Zhang, Xinyi Guo, Boxi Kang, Ruozhen Hu, Julie Y. Huang, Qiming Zhang, Zhouzerui Liu, Minghui Dong, Xueda Hu, Wenjun Ouyang, Jirun Peng, Zemin Zhang",Cell,Landscape of Infiltrating T Cells in Liver Cancer Revealed by Single-Cell Sequencing,20170615,-,5063.0,Human,"Liver, Tumor",Tang & Smart-seq2,GSE98638,,RNA-seq,Infiltrating T cells in liver cancer,,TCR,,,,,,,,,,,6.0,2017-06-15,2017,6,15,843.8333333333334
