,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
10,Sul et al PNAS,10.1073/pnas.0902161106,,,,Rat,48,Brain,,,,,"J.-Y. Sul, C.-w. K. Wu, F. Zeng, J. Jochems, M. T. Lee, T. K. Kim, T. Peritz, P. Buckley, D. J. Cappelleri, M. Maronski, M. Kim, V. Kumar, D. Meaney, J. Kim, J. Eberwine",Proceedings of the National Academy of Sciences,Transcriptome transfer produces a predictable cellular phenotype,20090421,-,aRNA amplification,,,Microarray,Brain,,,6,Yes,,,,,,,,10.1073/pnas.0902161106,1,Sul et al PNAS,1,
11,Guo et al DCell,10.1016/j.devcel.2010.02.012,,,,Mouse,387,Embryo,,,,,"Guoji Guo, Mikael Huss, Guo Qing Tong, Chaoyang Wang, Li Li Sun, Neil D. Clarke, Paul Robson",Developmental Cell,Resolution of Cell Fate Decisions Revealed by Single-Cell Gene Expression Analysis from Zygote to Blastocyst,20100420,-,BioMark,,48,qPCR,Preimplantation embryos,,"8-cell, 16-cell, 32-cell, 64-cell",,Yes,,,,,,,,10.1016/j.devcel.2010.02.012,1,Guo et al DCell,1,
12,Tang et al CSC,10.1016/j.stem.2010.03.015,,,,Mouse,34,Embryo,,,,,"Fuchou Tang, Catalin Barbacioru, Siqin Bao, Caroline Lee, Ellen Nordman, Xiaohui Wang, Kaiqin Lao, M. Azim Surani",Cell Stem Cell,Tracing the Derivation of Embryonic Stem Cells from the Inner Cell Mass by Single-Cell RNA-Seq Analysis,20100507,-,Tang,GSE20187,,RNA-seq,"ICM, ESC, Epiblast",,"E3, E5",,,,No,Yes,,,,,10.1016/j.stem.2010.03.015,1,Tang et al CSC,1,
13,Islam et al GR,10.1101/gr.110882.110,,,,Mouse,85,Culture,,,,,"S. Islam, U. Kjallquist, A. Moliner, P. Zajac, J.-B. Fan, P. Lonnerberg, S. Linnarsson",Genome Research,Characterization of the single-cell transcriptional landscape by highly multiplex RNA-seq,20110505,-,STRT-seq,GSE29087,,RNA-seq,"mESCs, MEFs",,,2,Yes,No,,Yes,No,,Pipetting (Manual picking),,10.1101/gr.110882.110,1,Islam et al GR,1,
14,Tang et al POne,10.1371/journal.pone.0021208,,,,Mouse,24,Embryo,,,,,"Fuchou Tang, Catalin Barbacioru, Ellen Nordman, Siqin Bao, Caroline Lee, Xiaohui Wang, Brian B. Tuch, Edith Heard, Kaiqin Lao, M. Azim Surani",PLoS ONE,Deterministic and Stochastic Allele Specific Gene Expression in Single Mouse Blastomeres,20110623,-,Tang,GSE22182,,RNA-seq,Blastomeres,,,7,No,,,Yes,,,,,10.1371/journal.pone.0021208,1,Tang et al POne,1,
15,Ramsköld et al NBT,10.1038/nbt.2282,3,we focused our analyses on single-cell transcriptomes from prostate (PC3 and LNCaP) and bladder (T24) cancer cell line cells. The global gene expression of 12 individual cells (four from each cell line) clustered according to cell line of origin and we identified hundreds of differentially expressed genes among the three cell lines,,"Human, Mouse",12,"Embryo, Culture, Tumor",,,,cells come from culture,"Daniel Ramsköld, Shujun Luo, Yu-Chieh Wang, Robin Li, Qiaolin Deng, Omid R Faridani, Gregory A Daniels, Irina Khrebtukova, Jeanne F Loring, Louise C Laurent, Gary P Schroth, Rickard Sandberg",Nat Biotechnol,Full-length mRNA-Seq from single-cell levels of RNA and individual circulating tumor cells,20120722,-,SMART-seq,GSE38495,,RNA-seq,"Oocyte, hESC, CTC, Melanocyte",,,,,,,,,,Sorting (FACS),,10.1038/nbt.2282,1,Ramsköld et al NBT,1,
16,Brouilette et al DevDyn,10.1002/dvdy.23850,,,,Mouse,6,Culture,,,,,"Scott Brouilette, Scott Kuersten, Charles Mein, Monika Bozek, Anna Terry, Kerith-Rae Dias, Leena Bhaw-Rosun, Yasunori Shintani, Steven Coppen, Chiho Ikebe, Vinit Sawhney, Niall Campbell, Masahiro Kaneko, Nobuko Tano, Hidekazu Ishida, Ken Suzuki, Kenta Yashiro",Dev. Dyn.,A simple and novel method for RNA-seq library preparation of single cell cDNA analysis by hyperactive Tn5 transposase,20120821,-,Brouilette,GSE38198,,RNA-seq,mESCs,,,,,,,,,,,,10.1002/dvdy.23850,1,Brouilette et al DevDyn,1,
17,Hashimshony et al CR,10.1016/j.celrep.2012.08.003,,,,C elegans,96,Embryo,,,,,"Tamar Hashimshony, Florian Wagner, Noa Sher, Itai Yanai",Cell Reports,CEL-Seq: Single-Cell RNA-Seq by Multiplexed Linear Amplification,20120830,-,CEL-seq,SRP014672,,RNA-seq,Blastomeres,,,3,No,No,,No,No,,Pipetting (Manual picking),,10.1016/j.celrep.2012.08.003,1,Hashimshony et al CR,1,
18,Buganim et al Cell,10.1016/j.cell.2012.08.023,,,,Mouse,"1,864",Culture,,,,,"Yosef Buganim, Dina A. Faddah, Albert W. Cheng, Elena Itskovich, Styliani Markoulaki, Kibibi Ganz, Sandy L. Klemm, Alexander van Oudenaarden, Rudolf Jaenisch",Cell,Single-Cell Expression Analyses during Cellular Reprogramming Reveal an Early Stochastic and a Late Hierarchic Phase,20120913,-,BioMark,,48,qPCR,MEF to iPSC reprogramming,,,,,,,,,,,,10.1016/j.cell.2012.08.023,1,Buganim et al Cell,1,
19,Moignard et al NCB,10.1038/ncb2709,,,,Mouse,597,Bone marrow,,,,,"Victoria Moignard, Iain C. Macaulay, Gemma Swiers, Florian Buettner, Judith Schütte, Fernando J. Calero-Nieto, Sarah Kinston, Anagha Joshi, Rebecca Hannah, Fabian J. Theis, Sten Eirik Jacobsen, Marella F. de Bruijn, Berthold Göttgens",Nat Cell Biol,Characterization of transcriptional networks in blood stem and progenitor cells using high-throughput single-cell gene expression analysis,20130322,-,BioMark,,18,qPCR,,,9-12-week-old,5,,No,No,Yes,No,,IFC Capture,,10.1038/ncb2709,1,Moignard et al NCB,1,
20,Sasagawa et al GB,10.1186/gb-2013-14-4-r31,,,,Mouse,77,Culture,,,,,"Yohei Sasagawa, Itoshi Nikaido, Tetsutaro Hayashi, Hiroki Danno, Kenichiro D Uno, Takeshi Imai, Hiroki R Ueda",Genome Biol,"Quartz-Seq: a highly reproducible and sensitive single-cell RNA sequencing method, reveals non-genetic gene-expression heterogeneity",20130417,-,Quartz-seq,GSE42268,,RNA-seq,"mESCs, PrE",,,2,Yes,No,No,Yes,No,,Sorting (FACS),,10.1186/gb-2013-14-4-r31,1,Sasagawa et al GB,1,
21,Shalek et al Nature,10.1038/nature12172,,,,Mouse,18,Culture,,,,,"Alex K. Shalek, Rahul Satija, Xian Adiconis, Rona S. Gertner, Jellert T. Gaublomme, Raktima Raychowdhury, Schraga Schwartz, Nir Yosef, Christine Malboeuf, Diana Lu, John J. Trombetta, Dave Gennert, Andreas Gnirke, Alon Goren, Nir Hacohen, Joshua Z. Levin, Hongkun Park, Aviv Regev",Nature,Single-cell transcriptomics reveals bimodality in expression and splicing in immune cells,20130517,-,SMARTer,GSE41265,,RNA-seq,BMDCs,,,2,Yes,No,No,Yes,No,,Sorting (FACS),,10.1038/nature12172,1,Shalek et al Nature,1,
22,Magnusdottir et al NCB,10.1038/ncb2798,,,,Mouse,10,Embryo,,,,,"Erna Magnúsdóttir, Sabine Dietmann, Kazuhiro Murakami, Ufuk Günesdogan, Fuchou Tang, Siqin Bao, Evangelia Diamanti, Kaiqin Lao, Berthold Gottgens, M. Azim Surani",Nat Cell Biol,A tripartite transcription factor network regulates primordial germ cell specification in mice,20130714,-,Tang,E-MTAB-1178,,RNA-seq,Embryos,,,,,,,,,,,,10.1038/ncb2798,1,Magnusdottir et al NCB,1,
23,Xue et al Nature,10.1038/nature12364,18,"We mapped approximately 700 million sequencing reads derived from 33 single cells of multiple stages, ranging from mature oocytes to 8-cell blastomeres. To control the quality of single-cell RNA-seq from technical errors, we focused on libraries (26 out of a total 33, or 79%) that share at least 80% similarity with other libraries derived from identical pre-implantation stages (Supplementary Table 1). ","The single-cell RNA sequencing data analyzed in this study were derived from embryos of different egg donors with the same sperm donor, but the exact number of donors is not specified.","Human, Mouse",33,Embryo,Embryo,3,,,"Zhigang Xue, Kevin Huang, Chaochao Cai, Lingbo Cai, Chun-yan Jiang, Yun Feng, Zhenshan Liu, Qiao Zeng, Liming Cheng, Yi E. Sun, Jia-yin Liu, Steve Horvath, Guoping Fan",Nature,Genetic programs in human and mouse early embryos revealed by single-cell RNA sequencing,26/07/2013,-,Tang,GSE44183,,RNA-seq,Embryos,,,14,,,,,,,,,10.1038/nature12364,1,Xue et al Nature,1,
24,Yan et al NSMB,10.1038/nsmb.2660,,,,Human,124,Culture,,,,,"Liying Yan, Mingyu Yang, Hongshan Guo, Lu Yang, Jun Wu, Rong Li, Ping Liu, Ying Lian, Xiaoying Zheng, Jie Yan, Jin Huang, Ming Li, Xinglong Wu, Lu Wen, Kaiqin Lao, Ruiqiang Li, Jie Qiao, Fuchou Tang",Nat Struct Mol Biol,Single-cell RNA-Seq profiling of human preimplantation embryos and embryonic stem cells,20130809,-,Tang,GSE36552,,RNA-seq,hESCs,,,7,Yes,No,,Yes,No,,,,10.1038/nsmb.2660,1,Yan et al NSMB,1,
25,Picelli et al NMeth,10.1038/nmeth.2639,,,,"Human, Mouse",68,Culture,,,,,"Simone Picelli, Åsa K Björklund, Omid R Faridani, Sven Sagasser, Gösta Winberg, Rickard Sandberg",Nat Methods,Smart-seq2 for sensitive full-length transcriptome profiling in single cells,20130922,-,Smart-seq2,GSE49321,,RNA-seq,"HEK, MEF",,,,,,,,,,Sorting (FACS),,10.1038/nmeth.2639,1,Picelli et al NMeth,1,
26,Brennecke et al NMeth,10.1038/nmeth.2645,,,,"Arabidopsis, Mouse",100,"Root, Spleen",,,,,"Philip Brennecke, Simon Anders, Jong Kyoung Kim, Aleksandra A Kołodziejczyk, Xiuwei Zhang, Valentina Proserpio, Bianka Baying, Vladimir Benes, Sarah A Teichmann, John C Marioni, Marcus G Heisler",Nat Methods,Accounting for technical noise in single-cell RNA-seq experiments,20130922,-,SMARTer (C1),E-MTAB-1499,,RNA-seq,QC and GL2 cells,,,3,No,No,,Yes,No,,IFC Capture,,10.1038/nmeth.2645,1,Brennecke et al NMeth,1,
27,Wu et al NMeth,10.1038/nmeth.2694,,,,Human,100,Culture,,,,,"Angela R Wu, Norma F Neff, Tomer Kalisky, Piero Dalerba, Barbara Treutlein, Michael E Rothenberg, Francis M Mburu, Gary L Mantalas, Sopheak Sim, Michael F Clarke, Stephen R Quake",Nat Methods,Quantitative assessment of single-cell RNA-sequencing methods,20131020,-,SMARTer (C1),GSE51254,,RNA-seq,HCT116,,,,,,,,,,IFC Capture,,10.1038/nmeth.2694,1,Wu et al NMeth,1,
28,Grindberg et al PNAS,10.1073/pnas.1319700110,,,,Mouse,18,Culture,,,,,"R. V. Grindberg, J. L. Yee-Greenbaum, M. J. McConnell, M. Novotny, A. L. O'Shaughnessy, G. M. Lambert, M. J. Arauzo-Bravo, J. Lee, M. Fishman, G. E. Robbins, X. Lin, P. Venepally, J. H. Badger, D. W. Galbraith, F. H. Gage, R. S. Lasken",Proceedings of the National Academy of Sciences,RNA-sequencing from single nuclei,20131119,-,Tang (nuclei),SRP020097,,RNA-seq,NPCs,,,,,,,,,,Sorting (FACS),,10.1073/pnas.1319700110,1,Grindberg et al PNAS,1,
29,Marinov et al GR,10.1101/gr.161034.113,,,,Human,15,Culture,,,,,"G. K. Marinov, B. A. Williams, K. McCue, G. P. Schroth, J. Gertz, R. M. Myers, B. J. Wold",Genome Research,From single-cell to cell-pool transcriptomes: Stochasticity in gene expression and RNA splicing,20131204,-,SMARTer,GSE44618,,RNA-seq,GM12878 cell line,,,,,,,,,,Pipetting (Manual picking),,10.1101/gr.161034.113,1,Marinov et al GR,1,
30,Islam et al NMeth,10.1038/nmeth.2772,,,,Mouse,192,Culture,,,,,"Saiful Islam, Amit Zeisel, Simon Joost, Gioele La Manno, Pawel Zajac, Maria Kasper, Peter Lönnerberg, Sten Linnarsson",Nat Methods,Quantitative single-cell RNA-seq with unique molecular identifiers,20131222,-,STRT-seq (C1),GSE46980,,RNA-seq,mESCs,,,1,No,No,,No,No,,IFC Capture,,10.1038/nmeth.2772,1,Islam et al NMeth,1,
31,Deng et al Science,10.1126/science.1245316,,,,Mouse,269,Embryo,,,,,"Q. Deng, D. Ramskold, B. Reinius, R. Sandberg",Science,"Single-Cell RNA-Seq Reveals Dynamic, Random Monoallelic Gene Expression in Mammalian Cells",20140109,-,Smart-seq2,GSE45719,,RNA-seq,preimplantation embryos,,,11,No,No,No,Yes,No,,,,10.1126/science.1245316,1,Deng et al Science,1,
32,Jaitin et al Science,10.1126/science.1247651,,,,Mouse,"4,468",Spleen,,,,,"D. A. Jaitin, E. Kenigsberg, H. Keren-Shaul, N. Elefant, F. Paul, I. Zaretsky, A. Mildner, N. Cohen, S. Jung, A. Tanay, I. Amit",Science,Massively Parallel Single-Cell RNA-Seq for Marker-Free Decomposition of Tissues into Cell Types,20140214,-,MARS-seq,GSE54006,,RNA-seq,CD11c+ enriched splenocytes,,,9,Yes,No,,No,No,,Sorting (FACS),,10.1126/science.1247651,1,Jaitin et al Science,1,
33,Soumillon et al bioRxiv,10.1101/003236,,,,Human,"12,832",Culture,,,,,"Magali Soumillon, Davide Cacchiarelli, Stefan Semrau, Alexander van Oudenaarden, Tarjei S Mikkelsen",bioRxiv,Characterization of directed differentiation by high-throughput single-cell RNA-Seq,20140310,10.1101/003236,SCRB-seq,GSE53638,,RNA-seq,adipose derived stem/stromal cells,,,,,,,,,,,,10.1101/003236,1,Soumillon et al bioRxiv,1,
34,Trapnell et al NBT,10.1038/nbt.2859,1,"Human skeletal muscle myoblasts (HSMM) derived from quadriceps biopsy (Lonza, catalog #CC-2580, lot #257130: healthy, age 17, female, of European ancestry, body mass index 19) were expanded in 10% FBS SkGM-2 (Lonza) and differentiated for the indicated time points upon switch to MEM-alpha supplemented with 2% horse serum (Lifetech)",The source sentence does not provide an answer to the question asked.,Human,270,Muscle,Musculoskeletal system,3,,,"Cole Trapnell, Davide Cacchiarelli, Jonna Grimsby, Prapti Pokharel, Shuqiang Li, Michael Morse, Niall J Lennon, Kenneth J Livak, Tarjei S Mikkelsen, John L Rinn",Nat Biotechnol,The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells,23/03/2014,-,SMARTer (C1),GSE52529,,RNA-seq,Human Skeletal Muscle Myoblasts,,,3,Yes,Yes,No,,,,IFC Capture,,10.1038/nbt.2859,1,Trapnell et al NBT,1,
35,Treutlein et al Nature,10.1038/nature13173,,,,Mouse,400,Lung,,,,,"Barbara Treutlein, Doug G. Brownfield, Angela R. Wu, Norma F. Neff, Gary L. Mantalas, F. Hernan Espinoza, Tushar J. Desai, Mark A. Krasnow, Stephen R. Quake",Nature,Reconstructing lineage hierarchies of the distal lung epithelium using single-cell RNA-seq,20140411,-,SMARTer (C1),GSE52583,,RNA-seq,Lung epithelial cells,,,6,Yes,No,,Yes,No,,IFC Capture,,10.1038/nature13173,1,Treutlein et al Nature,1,
36,Durruthy-Durruthy et al Cell,10.1016/j.cell.2014.03.036,,,,Mouse,382,Ear,,,,,"Robert Durruthy-Durruthy, Assaf Gottlieb, Byron H. Hartman, Jörg Waldhaus, Roman D. Laske, Russ Altman, Stefan Heller",Cell,Reconstruction of the Mouse Otocyst and Early Neuroblast Lineage at Single-Cell Resolution,20140424,,BioMark,,96,qPCR,Otocyst and early neuroblast,,E10.5,,,,,,,,,,10.1016/j.cell.2014.03.036,1,Durruthy-Durruthy et al Cell,1,
37,Streets et al PNAS,10.1073/pnas.1402030111,,,,Mouse,102,Culture,,,,,"A. M. Streets, X. Zhang, C. Cao, Y. Pang, X. Wu, L. Xiong, L. Yang, Y. Fu, L. Zhao, F. Tang, Y. Huang",Proceedings of the National Academy of Sciences,Microfluidic single-cell whole-transcriptome sequencing,20140430,-,Tang,GSE47835,,RNA-seq,"mESCs, MEFs",,,,,,,,,,,,10.1073/pnas.1402030111,1,Streets et al PNAS,1,
38,Mahata et al CReports,10.1016/j.celrep.2014.04.011,,,,Mouse,91,Spleen,,,,,"Bidesh Mahata, Xiuwei Zhang, Aleksandra A. Kolodziejczyk, Valentina Proserpio, Liora Haim-Vilmovsky, Angela E. Taylor, Daniel Hebenstreit, Felix A. Dingler, Victoria Moignard, Berthold Göttgens, Wiebke Arlt, Andrew N.J. McKenzie, Sarah A. Teichmann",Cell Reports,Single-Cell RNA Sequencing Reveals T Helper Cells Synthesizing Steroids De Novo to Contribute to Immune Homeostasis,20140510,-,SMARTer (C1),E-MTAB-2512,,RNA-seq,Th2 cells,,,,No,No,No,No,No,,IFC Capture,,10.1016/j.celrep.2014.04.011,1,Mahata et al CReports,1,
39,Shalek et al Nature,10.1038/nature13437,,,,Mouse,"1,775",Culture,,,,,"Alex K. Shalek, Rahul Satija, Joe Shuga, John J. Trombetta, Dave Gennert, Diana Lu, Peilin Chen, Rona S. Gertner, Jellert T. Gaublomme, Nir Yosef, Schraga Schwartz, Brian Fowler, Suzanne Weaver, Jing Wang, Xiaohui Wang, Ruihua Ding, Raktima Raychowdhury, Nir Friedman, Nir Hacohen, Hongkun Park, Andrew P. May, Aviv Regev",Nature,Single-cell RNA-seq reveals dynamic paracrine control of cellular variation,20140611,-,SMARTer (C1),GSE48968,,RNA-seq,Bone marror derived dendritic cells,,,1,No,No,,No,No,,IFC Capture,,10.1038/nature13437,1,Shalek et al Nature,1,
40,Patel et al Science,10.1126/science.1254257,5,"To analyze intratumoral heterogeneity systematically, we isolated individual cells from five freshly resected and dissociated human glioblastomas and generated single-cell full-length transcriptomes using SMART-seq (96 to 192 cells per tumor, total 672 cells; Fig. 1A).",Single-cell RNA sequencing data was analyzed for five primary glioblastomas in this study.,Human,672,Brain,Brain,3,,,"A. P. Patel, I. Tirosh, J. J. Trombetta, A. K. Shalek, S. M. Gillespie, H. Wakimoto, D. P. Cahill, B. V. Nahed, W. T. Curry, R. L. Martuza, D. N. Louis, O. Rozenblatt-Rosen, M. L. Suva, A. Regev, B. E. Bernstein",Science,Single-cell RNA-seq highlights intratumoral heterogeneity in primary glioblastoma,13/06/2014,-,SMARTer,GSE57872,,RNA-seq,Glioblastoma,,,7,Yes,No,,No,No,,Sorting (FACS),,10.1126/science.1254257,1,Patel et al Science,1,
41,Brunskill et al Development,10.1242/dev.110601,,,,Mouse,235,Kidney,,,,,"E. W. Brunskill, J.-S. Park, E. Chung, F. Chen, B. Magella, S. S. Potter",Development,Single cell dissection of early kidney development: multilineage priming,20140722,,SMARTer (C1),,,RNA-seq,,,"E11.5, E12.5, P4",,,,,,,,,,10.1242/dev.110601,1,Brunskill et al Development,1,
42,Pollen et al NBT,10.1038/nbt.2967,11,"By capturing 301 single cells from 11 populations using microfluidics and analyzing single-cell transcriptomes across downsampled sequencing depths, we demonstrate that shallow single-cell mRNA sequencing (∼50,000 reads per cell) is sufficient for unbiased cell-type classification and biomarker identification","The study analyzed single-cell RNA sequencing data from 11 populations, but it also specifically analyzed single cells derived from developing human cortex during phases of neurogenesis.",Human,301,Brain,Brain,3,,,"Alex A Pollen, Tomasz J Nowakowski, Joe Shuga, Xiaohui Wang, Anne A Leyrat, Jan H Lui, Nianzhen Li, Lukasz Szpankowski, Brian Fowler, Peilin Chen, Naveen Ramalingam, Gang Sun, Myo Thu, Michael Norris, Ronald Lebofsky, Dominique Toppani, Darnell W Kemp, Michael Wong, Barry Clerkson, Brittnee N Jones, Shiquan Wu, Lawrence Knutsson, Beatriz Alvarado, Jing Wang, Lesley S Weaver, Andrew P May, Robert C Jones, Marc A Unger, Arnold R Kriegstein, Jay A A West",Nat Biotechnol,Low-coverage single-cell mRNA sequencing reveals cellular heterogeneity and activated signaling pathways in developing cerebral cortex,03/08/2014,,SMARTer (C1),SRP041736,,RNA-seq,"Neocortex, primary cortex",,"GW16, GW21",,,,,,,,,,10.1038/nbt.2967,1,Pollen et al NBT,1,
43,Sansom et al GResearch,10.1101/gr.171645.113,,,,Mouse,174,Thymus,,,,,"Stephen N. Sansom, Noriko Shikama-Dorn, Saule Zhanybekova, Gretel Nusspaumer, Iain C. Macaulay, Mary E. Deadman, Andreas Heger, Chris P. Ponting, Georg A. Holländer",Genome Res.,"Population and single-cell genomics reveal theAiredependency, relief from Polycomb silencing, and distribution of self-antigen expression in thymic epithelia",20140916,-,SMARTer (C1),GSE60297,,RNA-seq,mTECs,,,,,,,,,,IFC Capture,,10.1101/gr.171645.113,1,Sansom et al GResearch,1,
44,Ting et al CReports,10.1016/j.celrep.2014.08.029,,,,Mouse,153,"Tumor, Culture, Blood",,,,,"David T. Ting, Ben S. Wittner, Matteo Ligorio, Nicole Vincent Jordan, Ajay M. Shah, David T. Miyamoto, Nicola Aceto, Francesca Bersani, Brian W. Brannigan, Kristina Xega, Jordan C. Ciciliano, Huili Zhu, Olivia C. MacKenzie, Julie Trautwein, Kshitij S. Arora, Mohammad Shahid, Haley L. Ellis, Na Qu, Nabeel Bardeesy, Miguel N. Rivera, Vikram Deshpande, Cristina R. Ferrone, Ravi Kapur, Sridhar Ramaswamy, Toshi Shioda, Mehmet Toner, Shyamala Maheswaran, Daniel A. Haber",Cell Reports,Single-Cell RNA Sequencing Identifies Extracellular Matrix Gene Expression by Pancreatic Circulating Tumor Cells,20140918,-,Tang,GSE51372,,RNA-seq,"CTCs, pancreatic tumor, MEF, white blood cells",,,7,Yes,No,No,Yes,No,,IFC Capture,,10.1016/j.celrep.2014.08.029,1,Ting et al CReports,1,
